host_response_time,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights_avg_ntm,maximum_nights_avg_ntm,number_of_reviews,number_of_reviews_ltm,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,cancellation_policy,reviews_per_month,district,neighbourhood,has_wifi,has_essentials,has_kitchen,has_heating,has_washer,has_hangers,has_tv,has_hair_dryer,has_iron,has_shampoo,has_laptop_friendly_workspace,has_air_conditioning,has_hot_water,has_elevator,has_refrigerator,has_dishes_and_silverware,has_microwave,has_bed_linens,has_no_stairs_or_steps_to_enter,has_coffee_maker,has_cooking_basics,has_family/kid_friendly,has_long_term_stays_allowed,has_first_aid_kit,has_oven,has_stove,has_license,activity_months,income_med_occupation,price_med_occupation_per_accommodate
within an hour,37.38088,-5.9817599999999995,Apartment,Entire home/apt,4,1.0,1,54.0,0.0,0.0,2,7.2,3.0,1125.0,312,13,2012-05-09,2019-09-19,87.0,9.0,9.0,9.0,10.0,10.0,9.0,1,flexible,3.47,Nervion,SAN BERNARDO,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,88.34678330150517,162.0,81.0
-unk-,37.37766,-5.99885,House,Private room,2,2.0,1,25.2,0.0,0.0,2,13.5,1.0,7.0,528,58,2012-04-06,2019-05-12,88.0,9.0,8.0,10.0,9.0,10.0,8.0,1,moderate,5.79,Los Remedios,LOS REMEDIOS,1,1,1,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,85.15985954537054,75.6,75.6
within an hour,37.39537,-5.98865,Apartment,Entire home/apt,4,1.0,2,70.2,153.0,31.5,2,9.0,3.0,365.0,191,35,2012-05-16,2019-09-11,93.0,10.0,10.0,10.0,10.0,9.0,9.0,1,moderate,2.13,Casco Antiguo,FERIA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,87.85396004024723,242.1,121.05
within a few hours,37.38998,-5.9688099999999995,Apartment,Entire home/apt,3,1.0,2,61.2,90.0,27.0,3,0.0,3.1,1124.0,26,5,2013-04-30,2019-06-09,84.0,9.0,9.0,9.0,9.0,9.0,8.0,0,strict_14_with_grace_period,0.33,San Pablo - Santa Justa,HUERTA DE SANTA TERESA,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,73.29924639109633,210.6,105.3
within a day,37.41103,-5.98806,Apartment,Entire home/apt,5,1.0,3,43.2,0.0,35.1,2,13.5,2.0,1125.0,50,10,2012-05-27,2019-06-29,91.0,10.0,10.0,10.0,10.0,8.0,9.0,0,flexible,0.56,Macarena,"LA PAZ, LAS GOLONDRINAS",1,1,1,1,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,85.06129489311895,205.2,68.4
within an hour,37.38851,-6.00727,Apartment,Entire home/apt,3,1.0,0,45.0,0.0,22.5,2,4.5,2.9,1125.0,224,26,2012-05-01,2019-09-29,96.0,10.0,10.0,10.0,10.0,10.0,10.0,1,strict_14_with_grace_period,2.48,Triana,TRIANA CASCO ANTIGUO,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,0,1,1,1,88.93817121501468,157.5,78.75
within an hour,37.39452,-6.00009,Apartment,Entire home/apt,4,1.0,1,49.5,108.0,18.0,2,10.8,2.0,30.0,62,24,2012-10-12,2019-09-25,92.0,9.0,10.0,10.0,10.0,10.0,9.0,0,strict_14_with_grace_period,0.73,Casco Antiguo,SAN VICENTE,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,83.41855068892585,166.5,83.25
within an hour,37.39059,-5.99786,Apartment,Entire home/apt,10,3.0,3,180.0,0.0,27.0,6,22.5,2.3,1125.0,78,7,2013-01-11,2019-04-23,91.0,9.0,9.0,10.0,10.0,10.0,9.0,1,flexible,0.95,Casco Antiguo,MUSEO,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,75.33624920429578,567.0,113.4
within an hour,37.39573,-5.9959,Apartment,Entire home/apt,3,1.0,1,53.1,90.0,9.0,2,5.4,3.0,120.0,288,33,2012-05-07,2019-09-29,97.0,10.0,10.0,10.0,10.0,10.0,10.0,1,moderate,3.2,Casco Antiguo,SAN VICENTE,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,88.74104191051151,168.3,84.15
within an hour,37.38863,-5.99921,Apartment,Entire home/apt,3,1.5,1,81.0,135.0,27.0,2,9.0,1.4,365.0,88,17,2012-08-04,2019-09-26,84.0,9.0,9.0,9.0,9.0,9.0,8.0,0,strict_14_with_grace_period,1.01,Casco Antiguo,ARENAL,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,0,0,1,85.7183925747962,270.0,135.0
