host_response_time,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights_avg_ntm,maximum_nights_avg_ntm,number_of_reviews,number_of_reviews_ltm,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,cancellation_policy,reviews_per_month,district,neighbourhood,has_wifi,has_essentials,has_kitchen,has_heating,has_washer,has_hangers,has_tv,has_hair_dryer,has_iron,has_shampoo,has_laptop_friendly_workspace,has_air_conditioning,has_hot_water,has_elevator,has_refrigerator,has_dishes_and_silverware,has_microwave,has_bed_linens,has_no_stairs_or_steps_to_enter,has_coffee_maker,has_cooking_basics,has_family/kid_friendly,has_long_term_stays_allowed,has_first_aid_kit,has_oven,has_stove,has_license,activity_months,income_med_occupation,price_med_occupation_per_accommodate
within a few hours,40.40743,-3.6982800000000005,Apartment,Entire home/apt,5,1.0,1.0,51.3,0.0,0.0,2,12.6,3.0,15.0,431,52,2011-05-29,2019-08-05,97.0,10.0,10.0,10.0,10.0,10.0,10.0,0,moderate,4.26,Centro,Embajadores,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,98.23610341074766,236.43,78.81
within an hour,40.40958,-3.7104199999999996,Apartment,Entire home/apt,4,1.0,2.0,76.5,90.0,27.0,2,9.0,2.8,365.0,71,7,2011-10-18,2019-07-24,94.0,10.0,9.0,10.0,10.0,10.0,9.0,1,moderate,0.74,Centro,Palacio,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,93.1764512618329,310.05,155.03
within an hour,40.411120000000004,-3.71025,Apartment,Private room,2,1.0,1.0,31.5,80.1,10.8,1,18.0,1.0,365.0,183,47,2011-08-21,2019-09-16,95.0,10.0,10.0,10.0,10.0,10.0,9.0,1,strict_14_with_grace_period,1.86,Centro,Palacio,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,0,1,0,0,96.85619827922545,127.35,127.35
within a day,40.423809999999996,-3.70571,Apartment,Private room,2,1.0,1.0,26.1,90.0,18.0,1,10.8,1.0,1125.0,218,8,2011-05-26,2019-08-08,91.0,9.0,9.0,9.0,9.0,10.0,9.0,0,strict_14_with_grace_period,2.15,Centro,Universidad,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,1,0,1,0,1,1,0,1,0,0,98.43323271525082,114.57,114.57
within an hour,40.4112,-3.70762,Apartment,Entire home/apt,3,1.0,0.0,60.3,81.9,22.5,1,14.4,2.5,365.0,509,54,2011-07-02,2019-07-15,93.0,10.0,10.0,10.0,10.0,10.0,9.0,1,strict_14_with_grace_period,5.09,Centro,Embajadores,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,0,1,0,96.42908478613523,298.89,149.44
within an hour,40.41466,-3.7016199999999997,Apartment,Entire home/apt,8,2.5,2.0,180.0,180.0,42.3,4,9.0,3.9,200.0,69,35,2012-09-19,2019-09-12,93.0,9.0,9.0,10.0,10.0,10.0,9.0,1,flexible,0.81,Centro,Cortes,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,83.74709952976447,708.3,177.07
within a few hours,40.410340000000005,-3.6983599999999996,Apartment,Private room,1,1.0,1.0,23.4,0.0,0.0,1,0.0,3.0,730.0,81,43,2017-06-05,2019-09-14,98.0,10.0,10.0,10.0,10.0,10.0,10.0,0,strict_14_with_grace_period,2.9,Centro,Embajadores,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.3024086736894,86.58,86.58
-unk-,40.35735,-3.69634,Apartment,Private room,1,1.0,1.0,18.9,90.0,9.9,1,0.0,1.0,365.0,72,8,2011-07-07,2018-12-16,99.0,10.0,10.0,10.0,10.0,9.0,10.0,1,flexible,0.72,Villaverde,Los Angeles,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,89.33242982402103,79.83,79.83
within an hour,40.40672,-3.70116,Apartment,Entire home/apt,2,1.0,1.0,72.0,180.0,36.0,2,45.0,3.0,1125.0,22,13,2016-05-10,2019-07-14,99.0,10.0,10.0,9.0,10.0,10.0,10.0,0,strict_14_with_grace_period,0.54,Centro,Embajadores,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,38.111665537280025,302.4,302.4
within an hour,40.47851,-3.6441800000000004,House,Private room,1,0.0,1.0,36.0,0.0,0.0,1,0.0,1.0,730.0,4,4,2019-06-09,2019-09-09,95.0,10.0,10.0,8.0,9.0,10.0,10.0,1,flexible,1.17,Hortaleza,Pinar del Rey,1,1,0,0,0,1,0,1,1,0,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,3.0226493357153124,133.2,133.2
