host_response_time,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights_avg_ntm,maximum_nights_avg_ntm,number_of_reviews,number_of_reviews_ltm,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,cancellation_policy,reviews_per_month,district,neighbourhood,has_wifi,has_essentials,has_kitchen,has_heating,has_washer,has_hangers,has_tv,has_hair_dryer,has_iron,has_shampoo,has_laptop_friendly_workspace,has_air_conditioning,has_hot_water,has_elevator,has_refrigerator,has_dishes_and_silverware,has_microwave,has_bed_linens,has_no_stairs_or_steps_to_enter,has_coffee_maker,has_cooking_basics,has_family/kid_friendly,has_long_term_stays_allowed,has_first_aid_kit,has_oven,has_stove,has_license,activity_months,income_med_occupation,price_med_occupation_per_accommodate
within a day,36.72482,-4.41791,Apartment,Entire home/apt,4,2.0,2.0,76.5,0.0,54.0,4,9.0,2.0,999.0,41,3,2012-12-03,2019-08-15,94.0,9.0,9.0,9.0,9.0,10.0,9.0,1,strict_14_with_grace_period,0.49,nan,CENTRO,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,1,80.36304646912667,283.5,141.75
within an hour,36.724709999999995,-4.42347,Apartment,Entire home/apt,6,1.0,2.0,180.0,0.0,0.0,1,0.0,3.0,20.0,111,0,2013-03-08,2018-08-16,81.0,9.0,8.0,9.0,9.0,9.0,8.0,0,moderate,1.39,nan,CENTRO,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,65.28265467463397,540.0,180.0
within an hour,36.7218,-4.4248,Apartment,Entire home/apt,3,1.0,1.0,44.1,0.0,18.0,2,18.0,1.3,1000.0,247,64,2013-04-23,2019-09-11,88.0,9.0,10.0,10.0,10.0,10.0,9.0,1,strict_14_with_grace_period,3.15,nan,CENTRO,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,76.6175896835664,150.3,75.15
within an hour,36.702259999999995,-4.4435199999999995,Apartment,Entire home/apt,10,1.0,3.0,108.0,180.0,0.0,6,7.2,1.0,1125.0,5,2,2014-11-17,2019-08-21,88.0,9.0,8.0,10.0,9.0,9.0,8.0,0,super_strict_30,0.08,nan,CARRETERA DE CADIZ,1,0,1,0,1,1,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,57.10178853775231,324.0,64.8
within an hour,36.72331,-4.42239,Apartment,Entire home/apt,6,1.0,2.0,108.0,0.0,0.0,4,3.6,3.0,999.0,2,1,2018-04-15,2019-01-12,90.0,10.0,10.0,10.0,10.0,10.0,9.0,1,moderate,0.11,nan,CENTRO,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,8.936528470810488,324.0,108.0
within an hour,36.72095,-4.42519,Apartment,Entire home/apt,3,1.0,1.0,44.1,0.0,18.0,2,18.0,1.3,1000.0,269,72,2013-04-22,2019-09-08,89.0,10.0,9.0,10.0,10.0,10.0,9.0,1,strict_14_with_grace_period,3.43,nan,CENTRO,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,76.55187991539867,150.3,75.15
within an hour,36.70819,-4.44013,Apartment,Entire home/apt,10,1.0,3.0,90.0,180.0,0.0,7,9.0,1.0,1120.0,4,1,2014-11-21,2019-08-14,55.0,7.0,6.0,8.0,7.0,8.0,6.0,0,super_strict_30,0.07,nan,CRUZ DE HUMILLADERO,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,56.74038481282983,270.0,54.0
within an hour,36.70317,-4.4408,Apartment,Entire home/apt,9,1.0,3.0,117.0,180.0,0.0,6,6.3,2.0,1120.0,14,2,2013-10-07,2019-08-29,76.0,8.0,8.0,8.0,8.0,7.0,8.0,0,super_strict_30,0.19,nan,CARRETERA DE CADIZ,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,70.70371054847122,351.0,70.2
within an hour,36.71634,-4.45134,Apartment,Entire home/apt,12,1.5,4.0,135.0,180.0,0.0,8,9.0,1.1,100.0,6,1,2017-08-06,2019-06-03,70.0,7.0,6.0,9.0,8.0,9.0,7.0,0,super_strict_30,0.23,nan,CRUZ DE HUMILLADERO,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,21.881352799852152,405.0,67.5
within an hour,36.71519,-4.428640000000001,Apartment,Private room,1,1.0,1.0,31.5,0.0,0.0,1,0.0,2.0,21.0,109,18,2013-04-02,2019-08-29,97.0,10.0,10.0,10.0,10.0,10.0,10.0,0,moderate,1.38,nan,CENTRO,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,1,1,1,76.8804287562373,94.5,94.5
within an hour,36.73932,-4.35843,Apartment,Entire home/apt,2,1.0,1.0,63.0,180.0,45.0,2,0.0,4.0,30.0,6,2,2014-07-14,2019-09-11,97.0,9.0,10.0,10.0,10.0,9.0,10.0,1,strict_14_with_grace_period,0.09,nan,ESTE,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,61.931456498080045,234.0,234.0
within an hour,36.74082,-4.36003,Apartment,Entire home/apt,2,1.0,1.0,65.7,180.0,45.0,1,0.0,4.0,90.0,8,1,2013-05-07,2019-08-04,98.0,10.0,10.0,9.0,10.0,10.0,10.0,1,strict_14_with_grace_period,0.1,nan,ESTE,1,0,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,74.90913571120556,242.1,242.1
within an hour,36.72327,-4.42266,Loft,Entire home/apt,3,1.0,1.0,67.5,0.0,0.0,2,9.0,5.0,60.0,31,2,2014-04-08,2019-09-06,98.0,10.0,10.0,10.0,10.0,10.0,10.0,1,strict_14_with_grace_period,0.46,nan,CENTRO,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,64.95410583379535,202.5,101.25
within a few hours,36.72144,-4.36446,Apartment,Entire home/apt,6,2.0,3.0,90.0,180.0,63.0,4,0.0,4.0,120.0,17,7,2013-10-04,2019-06-29,96.0,10.0,10.0,10.0,10.0,10.0,9.0,0,strict_14_with_grace_period,0.23,nan,ESTE,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,68.79812727160721,333.0,111.0
-unk-,36.71668,-4.4168,Apartment,Entire home/apt,6,1.0,2.0,51.3,0.0,18.0,4,13.5,2.0,1125.0,164,15,2013-04-29,2019-08-18,90.0,9.0,9.0,10.0,10.0,10.0,9.0,1,moderate,2.1,nan,CENTRO,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,75.63194316105053,171.9,57.3
within an hour,36.715090000000004,-4.42322,Apartment,Entire home/apt,2,1.0,1.0,72.0,180.0,45.0,2,22.5,4.0,30.0,26,10,2013-09-13,2019-09-13,99.0,10.0,10.0,10.0,10.0,10.0,10.0,1,strict_14_with_grace_period,0.35,nan,CENTRO,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0,0,1,0,1,1,0,0,0,1,71.98505102774185,261.0,261.0
